date,predictions
12-15,161.44
12-16,164.14
12-17,170.53
12-18,174.57
12-19,166.4
12-20,167.1
12-21,165.18
12-22,176.33
12-23,166.67
12-24,169.94
12-25,165.0
12-26,161.99
12-27,157.55
12-28,182.37
12-29,165.43
12-30,178.47
12-31,180.64
01-01,163.54
01-02,167.94
01-03,178.66
01-04,161.2
01-05,175.68
01-06,182.58
01-07,183.59
01-08,184.45
01-09,168.29
01-10,168.96
01-11,154.56
01-12,171.16
01-13,171.93
