date,predictions
12-17,153.85
12-18,149.32
12-19,146.6
12-20,154.83
12-21,167.85
12-22,164.6
12-23,148.79
12-24,136.41
12-25,147.24
12-26,142.37
12-27,148.85
12-28,140.14
12-29,133.83
12-30,150.48
12-31,135.42
01-01,146.52
01-02,163.92
01-03,149.27
01-04,147.75
01-05,150.13
01-06,143.45
01-07,154.34
01-08,144.98
01-09,157.71
01-10,153.83
01-11,144.13
01-12,147.77
01-13,134.44
01-14,154.7
01-15,146.91
