date,predictions
12-17,871.0
12-18,590.0
12-19,799.0
12-20,866.0
12-21,926.0
12-22,887.0
12-23,961.0
12-24,1592.0
12-25,831.0
12-26,912.0
12-27,757.0
12-28,823.0
12-29,759.0
12-30,517.0
12-31,715.0
01-01,759.0
01-02,634.0
01-03,763.0
01-04,934.0
01-05,639.0
01-06,520.0
01-07,428.0
01-08,458.0
01-09,492.0
01-10,597.0
01-11,559.0
01-12,677.0
01-13,234.0
01-14,385.0
01-15,654.0
