date,predictions
12-17,1312.0
12-18,1511.0
12-19,2135.0
12-20,1514.0
12-21,2081.0
12-22,3683.0
12-23,3013.0
12-24,2364.0
12-25,2476.0
12-26,1450.0
12-27,1922.0
12-28,1508.0
12-29,3045.0
12-30,2976.0
12-31,1166.0
01-01,1435.0
01-02,922.0
01-03,1171.0
01-04,1157.0
01-05,2202.0
01-06,1827.0
01-07,665.0
01-08,819.0
01-09,790.0
01-10,1103.0
01-11,848.0
01-12,1873.0
01-13,1515.0
01-14,622.0
01-15,1009.0
