date,predictions
12-17,1721.0
12-18,1440.0
12-19,2244.0
12-20,805.0
12-21,920.0
12-22,1697.0
12-23,1604.0
12-24,1691.0
12-25,990.0
12-26,1198.0
12-27,1378.0
12-28,1476.0
12-29,1224.0
12-30,1941.0
12-31,1253.0
01-01,1430.0
01-02,1308.0
01-03,839.0
01-04,1268.0
01-05,1084.0
01-06,1450.0
01-07,1048.0
01-08,1666.0
01-09,1545.0
01-10,1432.0
01-11,1631.0
01-12,1253.0
01-13,1845.0
01-14,1469.0
01-15,1465.0
